code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3174342	1609904	1555605
DE-BE	5288418	2588893	2505374
DE-BUND	375084	194047	186396
DE-BW	14917085	7491387	7312200
DE-BY	17811300	8886153	8647352
DE-HB	1107126	556873	540128
DE-HE	8716096	4410232	4209166
DE-HH	2761529	1393333	1357221
DE-MV	2182312	1095661	1065070
DE-NI	11416483	5806984	5572658
DE-NW	26443334	13355418	12758473
DE-RP	5779354	2934974	2767772
DE-SH	4352420	2171771	2103023
DE-SL	1501036	752143	730367
DE-SN	4828576	2422111	2335472
DE-ST	2833462	1428582	1398579
DE-TH	2712756	1335763	1307633
