code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2794527	1491819	1390233
DE-BE	4490856	2382412	2206815
DE-BUND	358384	187160	176449
DE-BW	13211286	6954779	6620243
DE-BY	15496047	8164519	7708841
DE-HB	955700	511371	480196
DE-HE	7602615	4077902	3722513
DE-HH	2371513	1268080	1174388
DE-MV	1922921	1017388	956020
DE-NI	10018370	5414993	4959292
DE-NW	23093069	12432974	11332473
DE-RP	5071377	2723053	2479859
DE-SH	3793391	2036612	1871672
DE-SL	1320428	703732	654184
DE-SN	4255277	2238359	2102842
DE-ST	2493132	1324396	1256483
DE-TH	2359582	1238615	1181634
