code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	9418277	5879386	3756709
DE-BY	10934730	6635789	4531699
DE-BE	3116234	1964930	1219330
DE-BB	2049393	1298672	811944
DE-HB	629067	413853	234849
DE-HH	1517297	939060	620791
DE-HE	5263050	3308665	2071336
DE-MV	1430917	869698	593781
DE-NI	6841155	4359819	2725698
DE-NW	16141294	9970117	6649295
DE-RP	3498697	2216829	1371243
DE-SL	946010	560205	408181
DE-SN	3240291	1923376	1376528
DE-ST	1804987	1120533	740560
DE-SH	2617777	1660775	1023047
DE-TH	1741644	1079843	692362
