code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4000509	1701554	1626539	784269
DE-BE	6588017	2744059	2616441	1353016
DE-BUND	468337	198569	189286	88603
DE-BW	19299396	7935347	7692201	4145730
DE-BY	22829619	9412794	9155685	4762648
DE-HB	1360121	590547	562796	254017
DE-HE	10854275	4640035	4390074	2072923
DE-HH	3351031	1464591	1421300	571312
DE-MV	2742967	1159327	1115772	533299
DE-NI	14600994	6057715	5806405	3167663
DE-NW	33473038	13938913	13263604	7074242
DE-RP	7322647	3069532	2875572	1543176
DE-SH	5430710	2261030	2191606	1112590
DE-SL	1923903	787467	758458	426775
DE-SN	6067224	2557088	2440580	1170162
DE-ST	3578481	1516715	1474690	694597
DE-TH	3397141	1436650	1379761	673944
