code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6892329	4852460	2126529
DE-BY	8233645	5753501	2570102
DE-BE	2261670	1587907	697035
DE-BB	1494757	1016596	498929
DE-HB	469009	322188	156864
DE-HH	1114648	777010	350087
DE-HE	3875891	2813156	1102168
DE-MV	1042420	732293	321235
DE-NI	4927863	3597272	1421006
DE-NW	11938413	8556188	3541108
DE-RP	2586410	1761056	852053
DE-SL	697238	474161	229518
DE-SN	2493283	1606078	912578
DE-ST	1337570	935390	422758
DE-SH	1912316	1315150	623137
DE-TH	1341076	908119	443942
