code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12411017	6679705	6041512
DE-BY	14322375	7843940	6804032
DE-BE	4097410	2254268	1929786
DE-BB	2603295	1417306	1261354
DE-HB	885092	483926	431043
DE-HH	2067710	1186541	937856
DE-HE	7016640	3891292	3298621
DE-MV	1783908	968361	858173
DE-NI	9168555	5196423	4285227
DE-NW	21064979	11747114	9917310
DE-RP	4695666	2594710	2216682
DE-SL	1211079	673713	567843
DE-SN	4023168	2139290	1961187
DE-ST	2322170	1265189	1131579
DE-SH	3476464	1925073	1650233
DE-TH	2249120	1191671	1105423
