code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6235329	4549656	1726824
DE-BY	7471118	5470420	2034112
DE-BE	2033616	1444548	597486
DE-BB	1321440	921501	405411
DE-HB	422825	295081	134082
DE-HH	1006011	733502	276054
DE-HE	3486358	2615572	879454
DE-MV	927547	686652	245202
DE-NI	4454372	3375031	1120440
DE-NW	10564781	7924917	2677375
DE-RP	2321133	1628609	697421
DE-SL	624444	445794	180021
DE-SN	2256265	1473501	793047
DE-ST	1192785	865417	335606
DE-SH	1699384	1181953	530913
DE-TH	1214010	829546	387118
