code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	3326670	2546722	779948
DE-BY	4140085	3229185	910900
DE-BE	1145943	822271	323672
DE-BB	744697	567255	177442
DE-HB	232010	176859	55151
DE-HH	567514	452952	114562
DE-HE	1854153	1384949	469204
DE-MV	504618	398804	105814
DE-NI	2432355	1907433	524922
DE-NW	5742827	4464814	1278013
DE-RP	1271668	972595	299073
DE-SL	340976	260452	80524
DE-SN	1271124	923758	347366
DE-ST	676460	535430	141030
DE-SH	895217	678691	216526
DE-TH	697220	484463	212757
