code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3315808	1629429	1569360
DE-BE	5521285	2624797	2529638
DE-BUND	384740	194570	186946
DE-BW	15525695	7589856	7384574
DE-BY	18740118	9022122	8750104
DE-HB	1147170	563007	544548
DE-HE	9046257	4465572	4246673
DE-HH	2866180	1412757	1373536
DE-MV	2285463	1114834	1076572
DE-NI	11883793	5868583	5621970
DE-NW	27528433	13459208	12846269
DE-RP	6000913	2962281	2790203
DE-SH	4496736	2189818	2115306
DE-SL	1569791	761928	736397
DE-SN	5035262	2449751	2354560
DE-ST	2974751	1454273	1414672
DE-TH	2843135	1359041	1322566
