code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4869413	1720914	1629561	1395677
DE-BE	8202618	2889498	2754570	2301589
DE-BUND	535272	201944	189535	142632
DE-BW	23678130	8397562	7994920	6734759
DE-BY	27832098	9894937	9586943	7701690
DE-HB	1731304	619859	580041	449141
DE-HE	13736527	4926126	4570163	3789301
DE-HH	4478901	1604072	1497960	1214794
DE-MV	3450123	1217321	1160379	957512
DE-NI	18503022	6395240	5938292	5323084
DE-NW	41880775	14638578	13661888	11681382
DE-RP	9127118	3236967	2980040	2583742
DE-SH	7071595	2353700	2249980	2031192
DE-SL	2355156	822203	774378	676226
DE-SN	7355783	2676574	2551142	2014958
DE-ST	4500547	1617966	1533585	1246816
DE-TH	4139351	1506732	1429595	1129236
