code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4847776	1720216	1628482	1390523
DE-BE	8150703	2887409	2751029	2288850
DE-BUND	534640	201928	189500	142315
DE-BW	23578577	8391313	7987412	6715385
DE-BY	27704494	9891281	9580578	7677078
DE-HB	1716346	619501	579337	446846
DE-HE	13655731	4922521	4566118	3775849
DE-HH	4449597	1602250	1495518	1208025
DE-MV	3434678	1216843	1159553	954414
DE-NI	18381145	6392829	5934070	5306412
DE-NW	41632712	14632925	13653249	11645057
DE-RP	9084555	3235803	2978440	2576886
DE-SH	7021708	2352904	2248224	2024646
DE-SL	2343965	821960	773946	674565
DE-SN	7328917	2675339	2548910	2007030
DE-ST	4477771	1617167	1532182	1240436
DE-TH	4123633	1506036	1428564	1124712
