code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3053578	1590721	1530433
DE-BE	5010214	2532693	2442937
DE-BUND	371530	193527	185496
DE-BW	14423030	7391522	7195323
DE-BY	17015822	8714884	8471146
DE-HB	1061138	550996	531167
DE-HE	8393256	4348564	4138644
DE-HH	2649021	1371534	1327676
DE-MV	2095800	1080655	1047148
DE-NI	10952241	5746865	5476159
DE-NW	25499462	13227655	12563262
DE-RP	5581438	2907036	2726376
DE-SH	4202220	2150757	2078436
DE-SL	1441537	744508	719674
DE-SN	4639232	2389654	2297418
DE-ST	2722635	1408328	1372219
DE-TH	2572872	1315533	1284520
