code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2943890	1554493	1476188
DE-BE	4770436	2470820	2352770
DE-BUND	369086	192767	184267
DE-BW	13933428	7253764	6967621
DE-BY	16303948	8501083	8145222
DE-HB	1015863	536633	510156
DE-HE	8108204	4264171	4006439
DE-HH	2517611	1326269	1263714
DE-MV	2020566	1057572	1010713
DE-NI	10614483	5656831	5331891
DE-NW	24614638	13013227	12156939
DE-RP	5398646	2859095	2645132
DE-SH	4058629	2116285	2023751
DE-SL	1393089	729988	698199
DE-SN	4485171	2342157	2221777
DE-ST	2634663	1381806	1330023
DE-TH	2471245	1284354	1240512
