code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3092770	1597867	1542223
DE-BE	5101072	2551911	2468812
DE-BUND	372275	193716	185783
DE-BW	14552742	7423326	7236433
DE-BY	17226461	8764346	8536651
DE-HB	1077947	553313	535441
DE-HE	8500505	4369689	4168841
DE-HH	2689605	1379805	1340325
DE-MV	2122138	1086471	1054414
DE-NI	11111681	5769378	5519504
DE-NW	25787765	13274249	12646186
DE-RP	5643890	2918102	2744719
DE-SH	4253314	2158816	2089458
DE-SL	1457605	746904	724035
DE-SN	4704558	2402490	2316216
DE-ST	2756354	1415998	1383402
DE-TH	2615552	1322911	1293348
