code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4648737	1752275	1736635	1272773
DE-BE	7643224	2836017	2806510	2131119
DE-BUND	528309	201724	194621	140108
DE-BW	22104158	8188708	8188836	6208192
DE-BY	26166449	9698994	9767203	7205503
DE-HB	1596010	612009	602310	429879
DE-HE	12671188	4813676	4660050	3449248
DE-HH	4016392	1529929	1522462	1072443
DE-MV	3205579	1193640	1190010	887974
DE-NI	16930932	6258271	6172618	4934833
DE-NW	38312347	14373964	14068865	10688995
DE-RP	8405930	3167159	3057140	2349173
DE-SH	6495446	2335930	2335931	1958539
DE-SL	2197340	809585	804486	632839
DE-SN	7021773	2643504	2597522	1882390
DE-ST	4182793	1564696	1583468	1142821
DE-TH	3931922	1483092	1478419	1064935
