code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	3999912	3134717	865195
DE-BY	4827067	3830344	996723
DE-BE	1325845	964590	361255
DE-BB	842313	650617	191696
DE-HB	270483	202698	67785
DE-HH	669958	535174	134784
DE-HE	2231347	1736403	494944
DE-MV	608063	493457	114606
DE-NI	2900051	2323054	576997
DE-NW	6803617	5410083	1393534
DE-RP	1518387	1149283	369104
DE-SL	403473	315672	87801
DE-SN	1489898	1062309	427589
DE-ST	799159	631044	168115
DE-SH	1050422	784896	265526
DE-TH	821169	568526	252643
