code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2983917	1568975	1498160
DE-BE	4838427	2487602	2381347
DE-BUND	369809	192992	184713
DE-BW	14067921	7297768	7031985
DE-BY	16488632	8567505	8240067
DE-HB	1029586	541765	517250
DE-HE	8197777	4296318	4050322
DE-HH	2559983	1343587	1286089
DE-MV	2037854	1063544	1020822
DE-NI	10701703	5688083	5375389
DE-NW	24882972	13083377	12298224
DE-RP	5452314	2875710	2670467
DE-SH	4097263	2127423	2041115
DE-SL	1407171	734809	705265
DE-SN	4530171	2357504	2245831
DE-ST	2660398	1390838	1342901
DE-TH	2498612	1293249	1254471
