code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4688811	1756053	1744676	1301097
DE-BE	7702402	2844009	2819253	2169758
DE-BUND	530515	201977	194916	141766
DE-BW	22250450	8207590	8224363	6300607
DE-BY	26358850	9720744	9811879	7331731
DE-HB	1608036	613860	605510	436921
DE-HE	12791961	4827496	4687450	3529228
DE-HH	4067720	1538572	1536116	1101804
DE-MV	3234996	1196812	1196543	907775
DE-NI	17087415	6276311	6206638	5039555
DE-NW	38657377	14410029	14138970	10929079
DE-RP	8482943	3177521	3075317	2397706
DE-SH	6633769	2341258	2347771	2079874
DE-SL	2215562	811057	808566	645533
DE-SN	7094154	2650876	2613132	1931832
DE-ST	4226942	1568326	1593519	1173300
DE-TH	3969000	1487585	1487439	1088620
