code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11065717	6414041	4914045
DE-BY	12852875	7507945	5627531
DE-BE	3672520	2138539	1612262
DE-BB	2333068	1370947	1031973
DE-HB	768941	465292	327823
DE-HH	1841036	1104450	787000
DE-HE	6276722	3670973	2755711
DE-MV	1633224	933023	737623
DE-NI	8057704	4925187	3406955
DE-NW	19241144	11205019	8580824
DE-RP	4180003	2464645	1821600
DE-SL	1089486	633464	482057
DE-SN	3673227	2052225	1688926
DE-ST	2094367	1212174	945773
DE-SH	3086915	1820121	1352460
DE-TH	2025684	1149977	916732
