code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4048132	1705301	1632259	822500
DE-BE	6667625	2755283	2627869	1410539
DE-BUND	471078	198902	189578	90732
DE-BW	19633004	7967705	7725743	4414305
DE-BY	23148344	9444681	9196382	5009282
DE-HB	1382311	593022	565072	271570
DE-HE	11008359	4658329	4404329	2194901
DE-HH	3397017	1469455	1425896	608105
DE-MV	2781321	1162043	1120950	563826
DE-NI	14836435	6074786	5824180	3368798
DE-NW	33877177	13981007	13302046	7398518
DE-RP	7424029	3076455	2885304	1628032
DE-SH	5516276	2267026	2198548	1185255
DE-SL	1951383	789484	760694	450031
DE-SN	6142199	2565479	2451267	1226223
DE-ST	3621052	1520015	1482074	726560
DE-TH	3439453	1441077	1386619	705120
