code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12041256	6604928	5732490
DE-BY	13827565	7753879	6386479
DE-BE	3976584	2221489	1839007
DE-BB	2536761	1400941	1209362
DE-HB	852928	478654	402946
DE-HH	1993919	1166137	882893
DE-HE	6823818	3837217	3152840
DE-MV	1736408	957475	819824
DE-NI	8880456	5134671	4047480
DE-NW	20504473	11600140	9484697
DE-RP	4557345	2566600	2103475
DE-SL	1174678	662499	540507
DE-SN	3933438	2112708	1894947
DE-ST	2264036	1251613	1084046
DE-SH	3359994	1894313	1560423
DE-TH	2195573	1181319	1059986
