code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4677659	1754985	1742535	1293135
DE-BE	7684516	2841776	2815772	2157554
DE-BUND	529213	201821	194769	140767
DE-BW	22209263	8202662	8215145	6273323
DE-BY	26302973	9714203	9800468	7293738
DE-HB	1604327	613253	604627	434682
DE-HE	12754468	4824277	4681229	3501149
DE-HH	4055128	1536641	1533296	1093932
DE-MV	3227535	1196230	1194994	902431
DE-NI	17046114	6272277	6198454	5010392
DE-NW	38562182	14399871	14121772	10861023
DE-RP	8462861	3175264	3070532	2384654
DE-SH	6597593	2339876	2344612	2048218
DE-SL	2210227	810662	807409	641747
DE-SN	7075617	2649265	2609672	1918355
DE-ST	4215258	1567475	1590999	1164984
DE-TH	3958203	1486519	1485069	1081225
