code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3368383	1637207	1573478
DE-BE	5631636	2643900	2539998
DE-BUND	390419	195464	187444
DE-BW	15892150	7644298	7413779
DE-BY	19135028	9074106	8784982
DE-HB	1159041	565317	545708
DE-HE	9180433	4487689	4258206
DE-HH	2905977	1421266	1380138
DE-MV	2321863	1120642	1079454
DE-NI	12063719	5890518	5635167
DE-NW	28005867	13493777	12862972
DE-RP	6107795	2976356	2797554
DE-SH	4548481	2195168	2119047
DE-SL	1596235	764800	738112
DE-SN	5125204	2462506	2361060
DE-ST	3025698	1463030	1419542
DE-TH	2890352	1371144	1329809
