code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4841779	1761507	1645537	1335378
DE-BE	8121912	2909872	2767175	2241240
DE-BUND	534245	201913	189474	142095
DE-BW	23155526	8347621	7937537	6412429
DE-BY	27365368	9847634	9529896	7469713
DE-HB	1700495	617673	577448	441209
DE-HE	13381468	4885663	4534380	3604318
DE-HH	4362590	1600535	1489923	1140925
DE-MV	3395836	1212445	1155851	932561
DE-NI	18121973	6368296	5903792	5162178
DE-NW	41027621	14624454	13618256	11208184
DE-RP	8926410	3217006	2962782	2472839
DE-SH	6975045	2353421	2249137	2127598
DE-SL	2317246	818962	771316	657648
DE-SN	7291443	2670482	2545616	1986929
DE-ST	4427850	1609301	1530000	1209388
DE-TH	4089674	1499733	1422369	1108902
