code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3615390	1666895	1591820	466723
DE-BE	6035896	2696303	2603487	859661
DE-BUND	423730	197112	188220	46519
DE-BW	17066171	7748372	7496384	2286128
DE-BY	20530152	9200871	8907840	2915897
DE-HB	1216883	574387	551013	137925
DE-HE	9746365	4545167	4301475	1144985
DE-HH	3062427	1440512	1396273	329693
DE-MV	2485231	1138617	1090369	321061
DE-NI	12923730	5957454	5692149	1700386
DE-NW	30058624	13677304	13020991	4155215
DE-RP	6533118	3013332	2821848	861390
DE-SH	4924327	2223381	2156029	678989
DE-SL	1719618	773963	744627	249125
DE-SN	5483737	2499457	2385639	698294
DE-ST	3254224	1489754	1437704	433240
DE-TH	3079976	1398127	1346914	425272
