code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4035831	1704355	1630717	812672
DE-BE	6646108	2752066	2625006	1395025
DE-BUND	468754	198715	189364	88808
DE-BW	19532982	7957195	7715547	4334764
DE-BY	23053205	9435388	9184760	4934888
DE-HB	1375520	592253	564377	266206
DE-HE	10966215	4653070	4400367	2161934
DE-HH	3382966	1467802	1424335	597237
DE-MV	2770373	1161257	1119463	555134
DE-NI	14772843	6069414	5818686	3315684
DE-NW	33756203	13964799	13290642	7304913
DE-RP	7390668	3074389	2882224	1599762
DE-SH	5505985	2266308	2197488	1176741
DE-SL	1942565	788799	759997	442583
DE-SN	6122507	2562864	2448047	1212229
DE-ST	3613108	1519399	1480362	720934
DE-TH	3427914	1440140	1384767	696335
