code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10281717	6216722	4305883
DE-BY	11978523	7195065	5042845
DE-BE	3376482	2061555	1389336
DE-BB	2172807	1338333	900273
DE-HB	697251	445869	272860
DE-HH	1679146	1037941	688298
DE-HE	5763763	3509649	2388081
DE-MV	1530454	906795	658749
DE-NI	7419765	4684560	2993913
DE-NW	17804664	10669748	7652421
DE-RP	3813352	2364327	1547930
DE-SL	1008012	595124	437339
DE-SN	3439522	1975970	1527527
DE-ST	1938421	1169770	828152
DE-SH	2839463	1749095	1164268
DE-TH	1882808	1125661	794758
