code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2932032	1550452	1469453
DE-BE	4746587	2464677	2342619
DE-BUND	368889	192708	184143
DE-BW	13884933	7236370	6947183
DE-BY	16243178	8479503	8114566
DE-HB	1012406	535462	508549
DE-HE	8071908	4252562	3987798
DE-HH	2506304	1322461	1257295
DE-MV	2011784	1054726	1005972
DE-NI	10572942	5640480	5310979
DE-NW	24493426	12977426	12091685
DE-RP	5371781	2849986	2632694
DE-SH	4042347	2112622	2016137
DE-SL	1387331	727991	694987
DE-SN	4467427	2336183	2211901
DE-ST	2623062	1377810	1324112
DE-TH	2461656	1281090	1236068
