code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4685127	1755642	1743898	1298595
DE-BE	7693171	2842735	2817338	2163703
DE-BUND	530409	201971	194906	141676
DE-BW	22233276	8205081	8220261	6289872
DE-BY	26336781	9718060	9807471	7316735
DE-HB	1606676	613602	605168	436153
DE-HE	12771862	4825978	4684470	3513623
DE-HH	4062607	1537857	1534944	1098563
DE-MV	3232796	1196631	1196057	906242
DE-NI	17071547	6274462	6203324	5028837
DE-NW	38621153	14404707	14130819	10906185
DE-RP	8474357	3176287	3072859	2392805
DE-SH	6624507	2340640	2346315	2072674
DE-SL	2213100	810896	807871	643926
DE-SN	7086901	2650166	2611656	1926759
DE-ST	4222674	1567992	1592486	1170398
DE-TH	3965026	1487061	1486534	1086053
