code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4113943	1709721	1642768	873521
DE-BE	6783532	2767047	2645850	1497073
DE-BUND	481791	200227	190258	99445
DE-BW	19998670	7995783	7766342	4712227
DE-BY	23519098	9477400	9251060	5293003
DE-HB	1408281	595270	568375	292118
DE-HE	11194107	4675608	4425684	2342802
DE-HH	3452377	1474118	1431069	653847
DE-MV	2831193	1164959	1128600	603197
DE-NI	15089550	6090758	5849399	3581007
DE-NW	34366975	14029746	13361819	7780502
DE-RP	7542238	3084238	2900130	1723741
DE-SH	5622378	2274093	2209902	1272930
DE-SL	1984828	791772	764573	477345
DE-SN	6239869	2573601	2465367	1301730
DE-ST	3681245	1525039	1491613	772281
DE-TH	3497841	1446052	1394982	750267
