code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4582095	1747013	1720368	1227525
DE-BE	7550112	2828514	2782746	2069117
DE-BUND	525163	201489	194098	137717
DE-BW	21880636	8168573	8120986	6071934
DE-BY	25873397	9675469	9684927	7017953
DE-HB	1578800	609974	596486	420454
DE-HE	12507600	4801541	4616448	3341465
DE-HH	3892415	1509499	1489078	1001936
DE-MV	3164772	1190358	1179275	861133
DE-NI	16700083	6238655	6109296	4786399
DE-NW	37840863	14333426	13954340	10371172
DE-RP	8300845	3157731	3029843	2280344
DE-SH	6360506	2329391	2309776	1856240
DE-SL	2175603	807732	798298	619081
DE-SN	6937854	2636431	2575930	1827065
DE-ST	4128836	1560285	1569740	1106966
DE-TH	3885849	1478506	1465830	1035911
