code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4543515	1744012	1711341	1200839
DE-BE	7493482	2824353	2770666	2028543
DE-BUND	523112	201371	193811	136070
DE-BW	21757152	8158108	8088272	5991087
DE-BY	25686070	9661315	9642824	6886711
DE-HB	1567212	608914	593742	412628
DE-HE	12411597	4792962	4594100	3276301
DE-HH	3861536	1507240	1482129	980150
DE-MV	3144165	1188666	1175038	846440
DE-NI	16561193	6225630	6076493	4692793
DE-NW	37561020	14310474	13892456	10175360
DE-RP	8246953	3152666	3016089	2245240
DE-SH	6305154	2325408	2298428	1816156
DE-SL	2162147	806725	794574	610284
DE-SN	6873436	2631383	2561028	1782520
DE-ST	4081930	1556521	1559526	1073978
DE-TH	3853849	1475843	1457509	1014817
