code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4659567	1753303	1739016	1280213
DE-BE	7659570	2837998	2810182	2141834
DE-BUND	528639	201751	194666	140366
DE-BW	22144254	8194425	8199433	6232111
DE-BY	26214512	9704412	9779652	7235777
DE-HB	1599219	612460	603319	431653
DE-HE	12705280	4818948	4669589	3468738
DE-HH	4034409	1533119	1527887	1081921
DE-MV	3214428	1194716	1192136	893645
DE-NI	16974591	6263140	6183052	4963268
DE-NW	38406543	14383227	14088962	10754121
DE-RP	8428749	3171686	3062535	2362076
DE-SH	6533937	2337785	2339571	1991564
DE-SL	2202261	810063	805756	636015
DE-SN	7043126	2645703	2602956	1896122
DE-ST	4194910	1565670	1586317	1151118
DE-TH	3943428	1484909	1481352	1071714
