code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3025947	1582801	1518129
DE-BE	4963196	2524110	2428055
DE-BUND	371083	193418	185292
DE-BW	14325819	7368771	7155744
DE-BY	16876740	8685116	8419921
DE-HB	1052980	549230	527774
DE-HE	8327920	4335220	4111087
DE-HH	2621653	1363939	1316214
DE-MV	2079623	1076639	1041281
DE-NI	10880433	5734660	5452990
DE-NW	25296175	13187033	12486170
DE-RP	5540864	2900005	2709758
DE-SH	4166260	2143207	2067759
DE-SL	1433059	742694	716631
DE-SN	4613063	2382986	2286633
DE-ST	2710142	1405227	1367270
DE-TH	2555220	1311654	1278981
