code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3010092	1577930	1510759
DE-BE	4923491	2514507	2414687
DE-BUND	370486	193231	185027
DE-BW	14215994	7340518	7105350
DE-BY	16721570	8641399	8353018
DE-HB	1045461	547220	524815
DE-HE	8275735	4319950	4087836
DE-HH	2595731	1356681	1303451
DE-MV	2063645	1071866	1034410
DE-NI	10813125	5719009	5426572
DE-NW	25139098	13152020	12418858
DE-RP	5502765	2889353	2693069
DE-SH	4131119	2136004	2054270
DE-SL	1424145	740215	713048
DE-SN	4586781	2374870	2274822
DE-ST	2690524	1399930	1357765
DE-TH	2532494	1304735	1270293
