code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4853004	1761911	1646393	1338728
DE-BE	8146454	2911260	2769023	2249075
DE-BUND	534577	201924	189495	142274
DE-BW	23189080	8349733	7940693	6420331
DE-BY	27410104	9849172	9533553	7482528
DE-HB	1706794	617872	577778	442429
DE-HE	13419076	4886868	4536417	3611042
DE-HH	4375201	1600918	1490751	1143667
DE-MV	3405616	1212729	1156445	935085
DE-NI	18175905	6369978	5906733	5171305
DE-NW	41161077	14627531	13624623	11232182
DE-RP	8951136	3217850	2964042	2478922
DE-SH	6998058	2353954	2250219	2131765
DE-SL	2321965	819094	771606	658701
DE-SN	7304774	2671243	2546994	1991699
DE-ST	4438939	1609672	1530899	1213037
DE-TH	4095472	1499970	1422812	1111148
