code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12348742	6667968	5989148
DE-BY	14228000	7829393	6722287
DE-BE	4072975	2247698	1911523
DE-BB	2590672	1414088	1251606
DE-HB	880557	482866	427452
DE-HH	2051181	1182458	925175
DE-HE	6973852	3881629	3264394
DE-MV	1772212	965958	848532
DE-NI	9105975	5184626	4232242
DE-NW	20928856	11719229	9806267
DE-RP	4662962	2589413	2188869
DE-SL	1203236	672242	561175
DE-SN	4007677	2134135	1950285
DE-ST	2308606	1262393	1120297
DE-SH	3447632	1917669	1628035
DE-TH	2239804	1189237	1098324
