code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	4105631	3222145	883486
DE-BY	4959174	3940111	1019063
DE-BE	1358673	990501	368172
DE-BB	867860	665537	202323
DE-HB	278270	207755	70515
DE-HH	686024	548482	137542
DE-HE	2293884	1793604	500280
DE-MV	626249	507916	118333
DE-NI	2991036	2402210	588826
DE-NW	6980081	5565356	1414725
DE-RP	1564649	1178372	386277
DE-SL	415091	326484	88607
DE-SN	1526747	1087074	439673
DE-ST	824888	650209	174679
DE-SH	1080877	805809	275068
DE-TH	843985	583871	260114
