code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4863656	1720756	1629337	1394489
DE-BE	8189747	2889194	2754022	2299029
DE-BUND	535138	201941	189525	142563
DE-BW	23649301	8396509	7993588	6730367
DE-BY	27788008	9894032	9585287	7694731
DE-HB	1726725	619777	579863	448484
DE-HE	13712822	4925415	4569117	3785704
DE-HH	4471609	1603669	1497210	1213336
DE-MV	3446395	1217213	1160207	956886
DE-NI	18467769	6394631	5937282	5319012
DE-NW	41816105	14637361	13660065	11671941
DE-RP	9114612	3236664	2979567	2582107
DE-SH	7058495	2353499	2249723	2029897
DE-SL	2351379	822143	774261	675771
DE-SN	7349262	2676323	2550750	2013379
DE-ST	4494282	1617851	1533319	1245375
DE-TH	4134063	1506508	1429284	1127698
