code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2915632	1543857	1460614
DE-BE	4722898	2457727	2331323
DE-BUND	368690	192605	184052
DE-BW	13808534	7207913	6908210
DE-BY	16165153	8449919	8070015
DE-HB	1006042	533105	504933
DE-HE	8027854	4237749	3962508
DE-HH	2491675	1316241	1248355
DE-MV	2004140	1052121	1001606
DE-NI	10525609	5625980	5276605
DE-NW	24342133	12931169	11998967
DE-RP	5333881	2837140	2614676
DE-SH	4015751	2106154	1999929
DE-SL	1381659	725884	691852
DE-SN	4448342	2328956	2201374
DE-ST	2612272	1373844	1318816
DE-TH	2453161	1276834	1231734
