code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2937907	1552484	1472756
DE-BE	4758288	2467802	2347700
DE-BUND	368988	192730	184211
DE-BW	13915249	7247008	6960531
DE-BY	16273784	8490401	8129832
DE-HB	1014766	536291	509607
DE-HE	8087751	4257730	3995500
DE-HH	2512502	1324751	1260646
DE-MV	2015645	1055904	1007962
DE-NI	10591604	5647909	5320770
DE-NW	24552649	12995685	12124530
DE-RP	5384003	2854039	2638261
DE-SH	4049468	2114293	2019271
DE-SL	1390535	729111	696697
DE-SN	4475401	2338926	2216253
DE-ST	2628196	1379612	1326637
DE-TH	2466246	1282841	1238047
