code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4706359	1757606	1748123	1313669
DE-BE	7731036	2846808	2825094	2189785
DE-BUND	531210	202033	195007	142314
DE-BW	22312963	8214373	8238439	6342386
DE-BY	26445188	9729483	9829897	7391369
DE-HB	1614347	614631	606948	441054
DE-HE	12846627	4833367	4698311	3567199
DE-HH	4085639	1540324	1539943	1114185
DE-MV	3248472	1198011	1199613	917002
DE-NI	17151780	6282608	6221161	5083141
DE-NW	38803680	14426521	14168486	11029951
DE-RP	8513419	3180716	3083076	2417298
DE-SH	6657838	2343279	2352615	2097098
DE-SL	2222148	811650	809935	650163
DE-SN	7125802	2653734	2619396	1954398
DE-ST	4245158	1570137	1597636	1185602
DE-TH	3982816	1488936	1490791	1097752
