code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4871663	1720949	1629649	1396034
DE-BE	8206615	2889569	2754675	2302236
DE-BUND	535357	201947	189539	142659
DE-BW	23690954	8397935	7995433	6736512
DE-BY	27849789	9895286	9587616	7704115
DE-HB	1732518	619889	580076	449318
DE-HE	13747792	4926393	4570590	3790878
DE-HH	4481137	1604118	1498045	1215147
DE-MV	3451602	1217350	1160429	957750
DE-NI	18514754	6395389	5938591	5324249
DE-NW	41899712	14638899	13662311	11683238
DE-RP	9134094	3237108	2980212	2584570
DE-SH	7076252	2353754	2250044	2031601
DE-SL	2356746	822211	774428	676362
DE-SN	7357971	2676630	2551236	2015411
DE-ST	4503187	1618014	1533673	1247309
DE-TH	4141126	1506781	1429675	1129598
