code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2771178	1480745	1376270
DE-BE	4442584	2364793	2174140
DE-BUND	357791	186944	176072
DE-BW	13102106	6900790	6555097
DE-BY	15358981	8101878	7622897
DE-HB	946758	506029	475372
DE-HE	7511169	4042853	3661514
DE-HH	2325392	1253181	1140232
DE-MV	1908404	1010372	947360
DE-NI	9900204	5370199	4877777
DE-NW	22883164	12321629	11220900
DE-RP	5017820	2698615	2447682
DE-SH	3754949	2019460	1847706
DE-SL	1304057	698522	641994
DE-SN	4212196	2217445	2079548
DE-ST	2473182	1315165	1243908
DE-TH	2344217	1230734	1171420
