code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12564505	6711825	6169792
DE-BY	14539190	7881801	6989883
DE-BE	4157278	2268757	1976593
DE-BB	2629348	1425524	1280133
DE-HB	896649	487689	439714
DE-HH	2113951	1199702	972232
DE-HE	7100440	3912475	3364663
DE-MV	1806923	974416	876247
DE-NI	9282510	5217870	4382327
DE-NW	21376094	11814041	10167591
DE-RP	4756096	2608485	2264565
DE-SL	1228387	677549	582600
DE-SN	4058126	2151601	1985237
DE-ST	2350537	1271517	1155064
DE-SH	3532060	1941615	1691375
DE-TH	2266428	1198447	1118824
