code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3465437	1649464	1580780	343779
DE-BE	5757151	2656840	2550467	671798
DE-BUND	400307	195995	187719	24711
DE-BW	16287518	7687178	7446549	1613385
DE-BY	19665774	9127138	8834268	2194122
DE-HB	1181839	568744	547892	111248
DE-HE	9381141	4509741	4274741	839717
DE-HH	2967482	1430172	1387170	252070
DE-MV	2385173	1129052	1084079	236471
DE-NI	12366534	5920386	5659199	1210023
DE-NW	28811023	13591965	12949825	3058042
DE-RP	6259519	2992246	2807849	621452
DE-SH	4724272	2207569	2142534	507761
DE-SL	1640826	768722	740745	178929
DE-SN	5259841	2476445	2371040	511358
DE-ST	3105799	1472702	1425640	313004
DE-TH	2962154	1380617	1336120	332557
