code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4610673	1749260	1727661	1246611
DE-BE	7591912	2831772	2793318	2097158
DE-BUND	526647	201606	194346	138839
DE-BW	21974799	8177599	8149621	6128788
DE-BY	26000044	9685862	9719635	7099626
DE-HB	1585789	610783	598680	424468
DE-HE	12579351	4808073	4635741	3387418
DE-HH	3916823	1511351	1494939	1018713
DE-MV	3178344	1191533	1182657	870164
DE-NI	16794782	6247065	6135607	4846580
DE-NW	38046094	14350527	14003913	10510358
DE-RP	8351600	3161322	3042085	2315299
DE-SH	6409166	2332120	2320564	1891412
DE-SL	2184992	808436	800968	625115
DE-SN	6972270	2639470	2584198	1850208
DE-ST	4145875	1561642	1573863	1118532
DE-TH	3901528	1480210	1469839	1045914
