code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4715211	1758255	1749726	1320276
DE-BE	7750649	2849075	2829348	2202898
DE-BUND	531549	202069	195052	142573
DE-BW	22351603	8220453	8249266	6364207
DE-BY	26487269	9733141	9838887	7420852
DE-HB	1617742	614953	607607	443467
DE-HE	12871072	4835833	4702780	3584725
DE-HH	4100807	1543553	1542424	1123666
DE-MV	3256189	1198615	1200896	922847
DE-NI	17179269	6285313	6226768	5102366
DE-NW	38867891	14432270	14179782	11077236
DE-RP	8528698	3181991	3085487	2428948
DE-SH	6669285	2344037	2354461	2105954
DE-SL	2225335	811878	810481	652576
DE-SN	7140528	2654790	2622087	1965385
DE-ST	4253610	1570722	1599271	1191845
DE-TH	3990150	1489565	1492344	1102922
