code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3086412	1596852	1540814
DE-BE	5092317	2550331	2466790
DE-BUND	372142	193682	185739
DE-BW	14529148	7417597	7229837
DE-BY	17183422	8754110	8525000
DE-HB	1074470	552854	534524
DE-HE	8483060	4366568	4164487
DE-HH	2683174	1378573	1338872
DE-MV	2116826	1085398	1052870
DE-NI	11082760	5765498	5512141
DE-NW	25735697	13266944	12633639
DE-RP	5631287	2916062	2741567
DE-SH	4246276	2158025	2088094
DE-SL	1454368	746449	723334
DE-SN	4693632	2400468	2313729
DE-ST	2751342	1415060	1382029
DE-TH	2607474	1321729	1292006
