code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12951660	6833441	6459823
DE-BY	15161886	8026303	7488878
DE-BE	4362355	2334592	2121548
DE-BB	2730709	1462070	1351869
DE-HB	933397	498238	468316
DE-HH	2260100	1233962	1090820
DE-HE	7372980	3988622	3571284
DE-MV	1884925	999042	933380
DE-NI	9727618	5315282	4750330
DE-NW	22457157	12119338	10976013
DE-RP	4943621	2666924	2401393
DE-SL	1280400	691315	624345
DE-SN	4165340	2195744	2052697
DE-ST	2438623	1301236	1220743
DE-SH	3697104	1995305	1810878
DE-TH	2318379	1218662	1154838
