code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2848101	1517114	1422778
DE-BE	4591640	2419596	2273584
DE-BUND	360252	187858	177630
DE-BW	13452010	7059693	6771560
DE-BY	15786569	8292364	7890688
DE-HB	975222	521240	491544
DE-HE	7805701	4157518	3855341
DE-HH	2431053	1292368	1213463
DE-MV	1956352	1033393	975955
DE-NI	10269701	5532114	5110580
DE-NW	23631431	12689855	11639835
DE-RP	5177578	2770736	2543441
DE-SH	3886766	2072538	1933849
DE-SL	1350854	714270	675757
DE-SN	4340259	2279709	2149105
DE-ST	2548262	1348122	1291738
DE-TH	2402809	1255747	1211359
