code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	7544935	5104276	2564810
DE-BY	8959709	5946765	3143251
DE-BE	2521821	1727313	834326
DE-BB	1673082	1123964	585442
DE-HB	516743	348997	181869
DE-HH	1212588	815490	420568
DE-HE	4215175	2939666	1335813
DE-MV	1167707	776847	408887
DE-NI	5494275	3821976	1826169
DE-NW	13054604	8902353	4419166
DE-RP	2825470	1885251	985002
DE-SL	764664	496910	278706
DE-SN	2714103	1713389	1041785
DE-ST	1455976	971439	519666
DE-SH	2125917	1431719	734740
DE-TH	1460928	963460	517083
