code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2822577	1505943	1405973
DE-BE	4547079	2402990	2242875
DE-BUND	359321	187396	177158
DE-BW	13327393	7010836	6687029
DE-BY	15650954	8235162	7800891
DE-HB	966229	517067	485783
DE-HE	7720392	4120795	3801731
DE-HH	2408437	1282693	1198767
DE-MV	1940947	1026574	966018
DE-NI	10175153	5483217	5056332
DE-NW	23399528	12587098	11486441
DE-RP	5131559	2748150	2516126
DE-SH	3847439	2058770	1904221
DE-SL	1337621	709746	666230
DE-SN	4301928	2260561	2128465
DE-ST	2520605	1336652	1272679
DE-TH	2381872	1247986	1196946
