code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4839453	1761430	1645326	1334589
DE-BE	8115244	2909525	2766632	2239146
DE-BUND	534185	201911	189471	142069
DE-BW	23143528	8346537	7936097	6409493
DE-BY	27351264	9847097	9528571	7465283
DE-HB	1699017	617585	577323	440886
DE-HE	13373022	4885324	4533795	3602511
DE-HH	4359286	1600319	1489524	1139998
DE-MV	3393797	1212375	1155681	932054
DE-NI	18111045	6368000	5903058	5160061
DE-NW	40996729	14623573	13616538	11201903
DE-RP	8921667	3216767	2962342	2471771
DE-SH	6970756	2353331	2248896	2126621
DE-SL	2315929	818920	771224	657337
DE-SN	7288657	2670298	2545286	1985665
DE-ST	4425670	1609219	1529797	1208692
DE-TH	4088218	1499651	1422193	1108376
