code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11741498	6545022	5481549
DE-BY	13506009	7686138	6125060
DE-BE	3886721	2196200	1772573
DE-BB	2489509	1393113	1169304
DE-HB	831072	474777	383562
DE-HH	1948079	1147564	853965
DE-HE	6678853	3792491	3047852
DE-MV	1707037	950557	796300
DE-NI	8670545	5096446	3870330
DE-NW	20138285	11495287	9212932
DE-RP	4452609	2539325	2024207
DE-SL	1150135	654752	522861
DE-SN	3867099	2096688	1842674
DE-ST	2221696	1242548	1048892
DE-SH	3270064	1872826	1488839
DE-TH	2147807	1172810	1019485
