code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4622645	1750423	1730377	1254721
DE-BE	7608298	2833058	2798055	2107550
DE-BUND	526970	201637	194412	139065
DE-BW	22021191	8181592	8164884	6156081
DE-BY	26054721	9690580	9736493	7132790
DE-HB	1588852	611125	599859	426017
DE-HE	12609161	4810586	4644832	3405646
DE-HH	3957322	1520382	1507453	1037729
DE-MV	3184838	1192021	1184625	874204
DE-NI	16833590	6250532	6147380	4870183
DE-NW	38129474	14357968	14025574	10564816
DE-RP	8370674	3163352	3048208	2326611
DE-SH	6427510	2333330	2324501	1904612
DE-SL	2189214	808733	802247	627762
DE-SN	6984645	2640503	2587749	1858009
DE-ST	4154812	1562435	1576298	1124262
DE-TH	3908255	1480852	1471731	1050131
