code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4830210	1761110	1644723	1332043
DE-BE	8098448	2909100	2765575	2234720
DE-BUND	533932	201898	189452	141899
DE-BW	23111334	8345271	7933494	6402698
DE-BY	27310318	9845999	9525560	7454511
DE-HB	1694908	617481	577071	440047
DE-HE	13343504	4884520	4532233	3597123
DE-HH	4350940	1600087	1489096	1138250
DE-MV	3384726	1212155	1155248	930334
DE-NI	18067204	6367013	5900894	5152333
DE-NW	40883724	14619611	13609809	11177294
DE-RP	8871148	3211566	2957824	2447893
DE-SH	6952512	2352979	2248154	2122468
DE-SL	2311887	818840	771000	656437
DE-SN	7277830	2669781	2544233	1981729
DE-ST	4418019	1609038	1529345	1206308
DE-TH	4082346	1499606	1421641	1106267
