code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4548658	1744527	1712718	1204098
DE-BE	7504770	2825073	2772882	2036914
DE-BUND	523394	201388	193848	136298
DE-BW	21775349	8159712	8093458	6002585
DE-BY	25712291	9663586	9648616	6904936
DE-HB	1568565	609056	594025	413565
DE-HE	12428818	4794792	4598304	3287504
DE-HH	3865326	1507481	1482972	982861
DE-MV	3147254	1188908	1175797	848529
DE-NI	16584497	6228389	6082681	4707211
DE-NW	37616206	14315017	13905927	10212586
DE-RP	8255072	3153321	3018318	2250482
DE-SH	6313218	2326167	2300197	1821703
DE-SL	2164327	806893	795242	611631
DE-SN	6882846	2632194	2563410	1788770
DE-ST	4092673	1557490	1562069	1081214
DE-TH	3856561	1476050	1458182	1016663
