code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11474115	6497460	5254083
DE-BY	13224281	7622509	5899755
DE-BE	3810391	2174533	1716764
DE-BB	2424186	1384537	1111501
DE-HB	809214	470989	364390
DE-HH	1913917	1136105	830024
DE-HE	6525728	3750546	2933818
DE-MV	1678063	943459	773552
DE-NI	8428740	5031463	3687538
DE-NW	19776092	11402145	8936579
DE-RP	4348875	2513616	1944530
DE-SL	1126193	648481	504800
DE-SN	3790957	2080881	1780769
DE-ST	2164214	1229805	1001760
DE-SH	3198261	1851251	1437020
DE-TH	2103571	1162200	984874
