code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2790838	1489953	1388165
DE-BE	4480390	2378785	2199508
DE-BUND	358324	187134	176415
DE-BW	13190360	6943615	6608172
DE-BY	15464113	8149627	7690136
DE-HB	953929	510330	479229
DE-HE	7583817	4071437	3709432
DE-HH	2358687	1264446	1164692
DE-MV	1919797	1016037	954068
DE-NI	9988387	5402098	4939925
DE-NW	23060241	12416299	11315007
DE-RP	5058281	2718711	2470451
DE-SH	3790865	2035691	1870052
DE-SL	1316955	702567	651583
DE-SN	4246534	2234121	2098090
DE-ST	2487799	1321787	1253370
DE-TH	2356106	1237011	1179508
