code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	7244128	4997213	2355467
DE-BY	8614374	5847401	2875317
DE-BE	2423862	1683539	775476
DE-BB	1593979	1079407	544939
DE-HB	497248	340019	170072
DE-HH	1176614	802087	394474
DE-HE	4037867	2874955	1211926
DE-MV	1116418	761021	371095
DE-NI	5242447	3734362	1640935
DE-NW	12511030	8722892	3999109
DE-RP	2695222	1823409	907257
DE-SL	730971	484355	255017
DE-SN	2625027	1669185	991112
DE-ST	1421960	977023	474021
DE-SH	2027532	1382212	678438
DE-TH	1415808	945003	487835
