code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4820834	1760762	1644041	1329410
DE-BE	8083545	2908696	2764689	2230884
DE-BUND	533770	201893	189435	141791
DE-BW	23080654	8344000	7931336	6396296
DE-BY	27271940	9844933	9522712	7444422
DE-HB	1691271	617366	576854	439300
DE-HE	13315805	4883859	4530917	3592639
DE-HH	4341474	1599850	1488441	1136128
DE-MV	3375313	1211983	1154784	928747
DE-NI	18025843	6366164	5899007	5144909
DE-NW	40783209	14616923	13605176	11160786
DE-RP	8851340	3211052	2956907	2443830
DE-SH	6935794	2352656	2247471	2119417
DE-SL	2307697	818760	770804	655499
DE-SN	7267892	2669352	2543358	1978085
DE-ST	4409886	1608846	1528919	1203763
DE-TH	4077392	1499501	1421206	1104496
