code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12468877	6690737	6090103
DE-BY	14414114	7857603	6884017
DE-BE	4118259	2259363	1946074
DE-BB	2615503	1420972	1270364
DE-HB	888773	484867	434083
DE-HH	2085280	1191414	950922
DE-HE	7050287	3898534	3326019
DE-MV	1796475	971459	868135
DE-NI	9223118	5205346	4332606
DE-NW	21182692	11769801	10014779
DE-RP	4725648	2602158	2239912
DE-SL	1218665	675443	574506
DE-SN	4038977	2144672	1972322
DE-ST	2338109	1268195	1145040
DE-SH	3500234	1931280	1668654
DE-TH	2256778	1193546	1111577
