code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6571944	4699837	1937198
DE-BY	7812062	5590922	2284424
DE-BE	2147543	1515800	647008
DE-BB	1405280	968018	449517
DE-HB	445975	308265	145998
DE-HH	1064120	757991	313553
DE-HE	3678506	2708698	991745
DE-MV	978699	706994	279710
DE-NI	4684626	3479174	1268461
DE-NW	11199070	8221614	3064488
DE-RP	2439326	1681857	772025
DE-SL	655459	456026	202632
DE-SN	2375819	1541671	852308
DE-ST	1258550	896073	376244
DE-SH	1804535	1248894	574322
DE-TH	1275823	865825	416204
